StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
26.0,18.0,E01035672,Tower Hamlets,2955,74.48,0.13545803820562352,15.0,0.0,680011.4373197248,London,-0.08,1.566,-0.0,-0.619,-0.435,0.0,0.181202125309011
150.0,123.0,E01004341,Waltham Forest,1941,62.96,0.203,322.0,31.0,487025.0,London,1.518,0.95,-0.39,0.439,1.464,0.922,0.2815450910844573
10.0,6.0,E01004486,Wandsworth,1426,21.11,0.097,78.0,2.0,688753.0,London,-0.286,-1.287,0.018,-0.402,-0.312,-0.525,0.2466035288189924
109.0,102.0,E01004310,Tower Hamlets,2022,64.14,0.252,498.0,13.0,525129.0,London,0.99,1.013,-0.313,1.045,0.362,1.591,0.4404959079007346
36.0,24.0,E01004617,Wandsworth,1909,43.84,0.146,436.0,11.0,530837.0,London,0.049,-0.072,-0.302,0.831,0.239,0.144,0.1138197874542944
17.0,12.0,E01035673,Tower Hamlets,1126,61.55,0.13545803820562352,2.0,0.0,680011.4373197248,London,-0.196,0.875,-0.0,-0.663,-0.435,0.0,0.217014693748727
6.0,6.0,E01004342,Waltham Forest,2091,50.93,0.125,196.0,10.0,572942.0,London,-0.338,0.307,-0.217,0.005,0.178,-0.143,0.1773581642982957
3.0,1.0,E01004487,Wandsworth,1492,25.0,0.119,99.0,3.0,1135229.0,London,-0.376,-1.079,0.921,-0.329,-0.251,-0.225,0.424335028725726
3.0,3.0,E01004311,Tower Hamlets,1841,55.62,0.257,260.0,20.0,525494.0,London,-0.376,0.558,-0.313,0.225,0.791,1.66,0.2310942920214443
4.0,3.0,E01004618,Wandsworth,1507,33.24,0.051,83.0,1.0,952341.0,London,-0.364,-0.639,0.551,-0.384,-0.373,-1.153,0.2078350055836943
5.0,4.0,E01035674,Tower Hamlets,1391,56.94,0.13545803820562352,6.0,2.0,680011.4373197248,London,-0.351,0.628,-0.0,-0.65,-0.312,0.0,0.1817071518261231
124.0,87.0,E01004343,Waltham Forest,1872,41.08,0.086,99.0,4.0,571747.0,London,1.183,-0.22,-0.219,-0.329,-0.19,-0.675,0.131254329865905
4.0,1.0,E01004488,Wandsworth,1334,22.79,0.071,62.0,0.0,1097786.0,London,-0.364,-1.198,0.845,-0.457,-0.435,-0.88,0.3849892268263364
53.0,49.0,E01004312,Tower Hamlets,1524,69.88,0.284,166.0,13.0,409274.0,London,0.268,1.32,-0.548,-0.099,0.362,2.028,0.0831839011755329
2.0,2.0,E01004619,Wandsworth,1362,13.8,0.041,106.0,3.0,2222729.0,London,-0.389,-1.678,3.121,-0.305,-0.251,-1.29,0.5023856977683903
31.0,22.0,E01035675,Tower Hamlets,1781,60.36,0.13545803820562352,8.0,2.0,680011.4373197248,London,-0.016,0.811,-0.0,-0.643,-0.312,0.0,0.082775567516967
21.0,16.0,E01004344,Waltham Forest,1905,56.96,0.157,205.0,6.0,529510.0,London,-0.144,0.629,-0.304,0.036,-0.067,0.294,0.1629895585422102
17.0,17.0,E01004489,Wandsworth,1367,25.46,0.123,164.0,9.0,1331532.0,London,-0.196,-1.055,1.318,-0.106,0.117,-0.17,0.3798058450470792
146.0,112.0,E01004313,Tower Hamlets,2125,63.15,0.179,411.0,23.0,555117.0,London,1.467,0.96,-0.253,0.745,0.974,0.595,0.3001192495744962
4.0,3.0,E01004620,Wandsworth,1695,20.06,0.074,94.0,0.0,912376.0,London,-0.364,-1.343,0.47,-0.347,-0.435,-0.839,0.3752443833876922
66.0,52.0,E01035676,Tower Hamlets,1567,79.2,0.13545803820562352,5.0,1.0,680011.4373197248,London,0.436,1.818,-0.0,-0.653,-0.373,0.0,0.3280218202698823
8.0,7.0,E01004345,Waltham Forest,1792,52.57,0.117,171.0,4.0,575017.0,London,-0.312,0.395,-0.212,-0.081,-0.19,-0.252,0.0965678746658307
4.0,1.0,E01004490,Wandsworth,1568,14.09,0.035,54.0,1.0,898505.0,London,-0.364,-1.663,0.442,-0.484,-0.373,-1.372,0.2342911385292614
130.0,103.0,E01004315,Tower Hamlets,1579,49.15,0.199,331.0,19.0,658512.0,London,1.261,0.212,-0.043,0.47,0.729,0.868,0.3237343474149117
17.0,12.0,E01004621,Wandsworth,1722,20.21,0.086,102.0,6.0,1275665.0,London,-0.196,-1.335,1.205,-0.319,-0.067,-0.675,0.4311355143850113
31.0,23.0,E01035677,Tower Hamlets,1517,70.4,0.13545803820562352,7.0,0.0,680011.4373197248,London,-0.016,1.348,-0.0,-0.646,-0.435,0.0,0.2632149046793761
5.0,5.0,E01004346,Waltham Forest,1797,40.01,0.126,239.0,8.0,576366.0,London,-0.351,-0.277,-0.21,0.153,0.055,-0.129,0.2683214742652984
11.0,5.0,E01004491,Wandsworth,2508,48.96,0.067,93.0,4.0,363980.0,London,-0.273,0.202,-0.639,-0.35,-0.19,-0.935,0.182960031791932
10.0,8.0,E01004316,Tower Hamlets,1041,54.08,0.218,204.0,11.0,614572.0,London,-0.286,0.475,-0.132,0.032,0.239,1.127,0.3356296171455858
15.0,8.0,E01004622,Wandsworth,1846,35.27,0.105,203.0,9.0,896635.0,London,-0.222,-0.53,0.438,0.029,0.117,-0.416,0.3678316280244741
58.0,38.0,E01035678,Tower Hamlets,1936,61.98,0.13545803820562352,2.0,0.0,680011.4373197248,London,0.333,0.898,-0.0,-0.663,-0.435,0.0,0.1982704104218048
1.0,1.0,E01004347,Waltham Forest,2183,37.24,0.1,54.0,1.0,552070.0,London,-0.402,-0.425,-0.259,-0.484,-0.373,-0.484,0.1390681418053635
